dev_publication_id,prod_project_id,doi,source
1,2,10.1084/jem.20241760,bib
2,2,10.1016/j.immuni.2025.05.004,bib
3,2,10.1038/s41590-021-01066-1,bib
4,2,10.1016/j.immuni.2022.04.004,bib
5,2,10.1371/journal.pone.0249477,bib
6,2,10.1038/s41590-024-01897-8,bib
7,2,10.1084/jem.20230707,bib
8,2,10.1038/s41564-024-01678-x,bib
9,2,10.1101/2023.07.31.551245,bib
10,2,10.1038/s41564-024-01777-9,bib
11,2,10.1016/j.immuni.2024.08.002,bib
12,2,10.1016/j.cels.2024.10.001,bib
14,2,10.1126/sciadv.adq8229,bib
15,2,10.1084/jem.20241571,bib
16,2,10.1038/s41540-024-00487-6,bib
17,2,10.1101/2024.05.24.595747,bib
18,2,10.1016/j.mucimm.2025.10.011,bib
20,2,10.1101/2025.07.08.663727,bib
21,2,10.1101/2025.10.28.685186,bib
22,4,10.1002/adhm.202202984,bib
23,4,10.1016/j.biomaterials.2024.122731,bib
24,4,10.1117/1.jbo.29.s2.s22710,bib
25,4,10.1002/advs.202402757,bib
26,4,10.1101/2024.06.28.601261,bib
27,4,10.1126/sciadv.adq6652,bib
28,4,10.1073/pnas.2414009121,bib
29,4,10.1038/s41467-023-38598-z,bib
30,4,10.1101/2025.03.17.643791,bib
31,4,10.1101/2025.01.10.632378,bib
32,3,10.3390/s22228984,bib
33,3,10.1021/acssensors.4c00927,bib
34,3,10.1016/j.dnarep.2021.103176,bib
35,3,10.1093/narmme/ugag035,bib
36,3,10.1016/j.celrep.2021.108864,bib
37,3,10.1039/d2dt03848j,bib
38,3,10.1093/narcan/zcad015,bib
39,3,10.3390/ijms231911776,bib
40,3,10.1021/acsomega.4c03959,bib
41,3,10.1101/2025.10.01.679856,bib
42,3,10.1021/acssensors.4c02462,bib
43,4,10.1038/s41467-023-38598-z,bib
44,4,10.1126/sciadv.adq6652,bib
45,4,10.1073/pnas.2414009121,bib
46,4,10.1002/adhm.202202984,bib
47,4,10.1101/2025.01.10.632378,bib
48,4,10.1016/j.biomaterials.2024.122731,bib
49,4,10.1002/advs.202402757,bib
50,4,10.1101/2024.06.28.601261,bib
51,4,10.1101/2025.03.17.643791,bib
52,4,10.1117/1.jbo.29.s2.s22710,bib
53,7,10.1016/j.medj.2023.07.004,bib
54,10,10.1016/j.molcel.2025.05.007,bib
55,10,10.1038/s41596-024-01076-x,bib
56,11,10.1016/j.jbc.2025.110436,bib
57,10,10.1073/pnas.2522090123,graph-title-match
58,10,10.1016/j.cels.2025.101239,graph-title-match
59,10,10.1038/s41586-025-09460-7,graph-title-match
60,10,10.1158/0008-5472.can-24-4674,user-confirmed
61,10,10.1126/scitranslmed.adw9184,graph-title-match
62,10,10.1084/jem.20250444,graph-title-match
63,4,10.1002/adfm.202206767,graph-title-match
64,4,10.1126/sciadv.adq0638,graph-title-match
